task_id,system_ts,event_ts,log_id,content,lag_magnitude
0,1765281496624,1765281488885,15,Log_15,7739
0,1765281500623,1765281492603,691,Log_691,8020
0,1765281500623,1765281493644,913,Log_913,6979
0,1765281502624,1765281495740,1331,Log_1331,6884
0,1765281502625,1765281495409,1271,Log_1271,7216
0,1765281512624,1765281504784,2472,Log_2472,7840
0,1765281520624,1765281513766,3841,Log_3841,6858
0,1765281522623,1765281514315,3962,Log_3962,8308
0,1765281524623,1765281517141,4532,Log_4532,7482
0,1765281530623,1765281523851,5415,Log_5415,6772
0,1765281532624,1765281525355,5581,Log_5581,7269
0,1765281542624,1765281534731,7137,Log_7137,7893
0,1765281546624,1765281537885,7680,Log_7680,8739
0,1765281548624,1765281541930,8222,Log_8222,6694
0,1765281560624,1765281553793,9867,Log_9867,6831
0,1765281562623,1765281553625,9842,Log_9842,8998
0,1765281566623,1765281559749,10915,Log_10915,6874
0,1765281568623,1765281561899,11171,Log_11171,6724
0,1765281572623,1765281565878,11551,Log_11551,6745
0,1765281576624,1765281569833,12115,Log_12115,6791
0,1765281578623,1765281571552,12413,Log_12413,7071
0,1765281580623,1765281573966,12893,Log_12893,6657
0,1765281588624,1765281581969,14134,Log_14134,6655
0,1765281592624,1765281585669,14490,Log_14490,6955
0,1765281594624,1765281587205,14684,Log_14684,7419
0,1765281594624,1765281587401,14711,Log_14711,7223
0,1765281614623,1765281607252,17716,Log_17716,7371
0,1765281616623,1765281609035,17973,Log_17973,7588
0,1765281616624,1765281608484,17885,Log_17885,8140
0,1765281618624,1765281611802,18438,Log_18438,6822
0,1765281620623,1765281613459,18782,Log_18782,7164
0,1765281622623,1765281615955,19320,Log_19320,6668
0,1765281624623,1765281617721,19646,Log_19646,6902
0,1765281624624,1765281617365,19583,Log_19583,7259
