Key,Mode,Name,Lag,DropRate,AvgLatency,P99Latency,WindowSize,SlideStep
Dist_3Dist-0klag-remake,Dist,3Dist-0klag-remake,0,2.25,4182.301282051282,5547.9,2000,2000
Dist_3Dist-0.5klag,Dist,3Dist-0.5klag,500,0.8099999999999999,3950.1858974358975,4682.45,2000,2000
Dist_3Dist-1klag-remake2,Dist,3Dist-1klag-remake2,1000,0.445,4093.358974358974,5846.45,2000,2000
Dist_3Dist-2klag-remake,Dist,3Dist-2klag-remake,2000,0.05,5583.3557692307695,6680.0,2000,2000
Dist_3Dist-2.3klag,Dist,3Dist-2.3klag,2300,0.03,6070.149038461538,6349.0,2000,2000
Dist_2p-2.5k-lag,Dist,2p-2.5k-lag,2500,0.02,6921.062091503268,7809.95,2000,2000
Dist_3Dist-3klag,Dist,3Dist-3klag,3000,0.025,6508.339743589743,8280.45,2000,2000
Dist_3Dist-5klag,Dist,3Dist-5klag,5000,0.0,8660.99358974359,10433.45,2000,2000
Single_0-lag,Single,0-lag,0,0.625,3638.3176470588237,3849.0,2000,2000
Single_500-lag,Single,500-lag,500,0.675,3533.621568627451,3731.91,2000,2000
Single_1p-2k-lag,Single,1p-2k-lag,2000,0.16999999999999998,4053.0788461538464,4295.8099999999995,2000,2000
Single_2.3k-lag,Single,2.3k-lag,2300,0.145,4049.9865384615387,4112.0,2000,2000
Single_2.5k-lag,Single,2.5k-lag,2500,0.01,5552.705882352941,5603.91,2000,2000
Single_3k-lag,Single,3k-lag,3000,0.025,5325.03137254902,5401.0,2000,2000
Single_5000-lag,Single,5000-lag,5000,0.0,8140.392156862745,8657.91,2000,2000
